"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_ti5","frp","daynight","type","Year","Month","Quarter"
"1",51.398087,0.809013,298.47,0.39,0.36,2020-07-01,"0206","N","VIIRS","n",1,285.96,0.6,"0",0,2020,7,3
"2",51.243587,-0.153605,295.76,0.38,0.36,2020-07-01,"0206","N","VIIRS","n",1,284.81,0.25,"0",0,2020,7,3
"3",53.566837,-0.603099,316.59,0.39,0.36,2020-07-01,"0206","N","VIIRS","n",1,284.69,1.1,"0",3,2020,7,3
"4",53.569294,-0.595898,303.43,0.39,0.36,2020-07-01,"0206","N","VIIRS","n",1,284.15,1.1,"0",3,2020,7,3
"5",53.566006,-0.597233,308.75,0.39,0.36,2020-07-01,"0206","N","VIIRS","n",1,285.37,1.1,"0",3,2020,7,3
"6",53.570133,-0.601768,305.71,0.39,0.36,2020-07-01,"0206","N","VIIRS","n",1,283.92,1.1,"0",3,2020,7,3
"7",52.641277,-0.545737,298.23,0.49,0.4,2020-07-02,"0148","N","VIIRS","n",1,283.65,0.77,"0",2,2020,7,3
"8",51.001347,-1.459435,295.51,0.5,0.41,2020-07-02,"0148","N","VIIRS","n",1,274.24,0.71,"0",0,2020,7,3
"9",51.525154,-0.260198,329.5,0.47,0.39,2020-07-02,"0148","N","VIIRS","n",1,284.88,8.94,"0",0,2020,7,3
"10",53.150795,-3.062777,298.25,0.4,0.37,2020-07-06,"0212","N","VIIRS","n",1,281.9,0.66,"0",2,2020,7,3
"11",51.561577,-3.760556,297.66,0.4,0.37,2020-07-06,"0212","N","VIIRS","n",1,282.89,0.76,"0",0,2020,7,3
"12",53.570183,-0.604398,306.32,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,282.25,0.87,"0",3,2020,7,3
"13",53.632793,-0.240272,295.9,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,282.97,0.84,"0",0,2020,7,3
"14",56.002735,-3.687629,320.46,0.43,0.38,2020-07-06,"0212","N","VIIRS","n",1,281.22,2.03,"0",2,2020,7,3
"15",51.578087,-3.778742,310.91,0.4,0.37,2020-07-06,"0212","N","VIIRS","n",1,284.14,2.07,"0",2,2020,7,3
"16",53.568398,-0.592995,328.6,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,283.86,1.69,"0",3,2020,7,3
"17",53.337784,-1.754396,307.13,0.39,0.36,2020-07-06,"0212","N","VIIRS","n",1,281.93,1.32,"0",2,2020,7,3
"18",53.571079,-0.610101,301.37,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,282.02,0.87,"0",3,2020,7,3
"19",53.589081,-0.614317,301.88,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,282.59,0.46,"0",3,2020,7,3
"20",52.547874,-0.597289,299.69,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,281.57,0.7,"0",0,2020,7,3
"21",53.566048,-0.600133,318.08,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,282.98,1.7,"0",2,2020,7,3
"22",51.566494,-3.770828,332.76,0.4,0.37,2020-07-06,"0212","N","VIIRS","n",1,284.98,2.15,"0",3,2020,7,3
"23",51.562366,-3.766284,302.82,0.4,0.37,2020-07-06,"0212","N","VIIRS","n",1,282.8,0.76,"0",2,2020,7,3
"24",53.585838,-0.615755,300.67,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,282.28,0.46,"0",3,2020,7,3
"25",51.577301,-3.773011,324.15,0.4,0.37,2020-07-06,"0212","N","VIIRS","n",1,285.44,1.95,"0",2,2020,7,3
"26",51.569836,-3.769643,303.51,0.4,0.37,2020-07-06,"0212","N","VIIRS","n",1,283.22,1.39,"0",2,2020,7,3
"27",53.56929,-0.598695,314.38,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,283.32,1.69,"0",3,2020,7,3
"28",53.633705,-0.245972,307.01,0.38,0.36,2020-07-06,"0212","N","VIIRS","n",1,287.54,0.84,"0",2,2020,7,3
"29",51.572639,-3.769862,298.25,0.68,0.74,2020-07-06,"0354","N","VIIRS","n",1,279.78,2.91,"0",2,2020,7,3
"30",51.563282,-3.767143,302.39,0.68,0.74,2020-07-06,"0354","N","VIIRS","n",1,280.54,1.94,"0",3,2020,7,3
"31",50.83065,-1.364949,298.92,0.44,0.39,2020-07-07,"0154","N","VIIRS","n",1,286.44,0.99,"0",2,2020,7,3
