"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_ti5","frp","daynight","type","Year","Month","Quarter"
"1",53.63343,-0.244545,302.79,0.55,0.43,2020-10-01,"0142","N","VIIRS","n",1,284.9,1.92,"0",2,2020,10,4
"2",53.570129,-0.596173,308.66,0.56,0.43,2020-10-01,"0142","N","VIIRS","n",1,282.43,2.18,"0",3,2020,10,4
"3",53.588276,-0.617918,307.51,0.56,0.43,2020-10-01,"0142","N","VIIRS","n",1,283.23,2.08,"0",3,2020,10,4
"4",53.566917,-0.605828,301.26,0.56,0.43,2020-10-01,"0142","N","VIIRS","n",1,281.15,2.18,"0",3,2020,10,4
"5",51.683853,-5.029212,298.8,0.54,0.51,2020-10-01,"0142","N","VIIRS","n",1,284.68,1.61,"0",2,2020,10,4
"6",53.566158,-0.597191,330.84,0.56,0.43,2020-10-01,"0142","N","VIIRS","n",1,283.43,2.18,"0",3,2020,10,4
"7",53.45747,-1.315862,303.13,0.38,0.58,2020-10-01,"0318","N","VIIRS","n",1,279.26,0.71,"0",0,2020,10,4
"8",53.454716,-1.318573,303.62,0.38,0.58,2020-10-01,"0318","N","VIIRS","n",1,279.47,0.83,"0",2,2020,10,4
"9",53.446194,-1.319446,295.4,0.38,0.59,2020-10-01,"0318","N","VIIRS","n",1,279.06,0.53,"0",0,2020,10,4
"10",53.635174,-0.238637,296,0.41,0.6,2020-10-01,"0318","N","VIIRS","n",1,280.89,1.11,"0",2,2020,10,4
"11",51.568043,-3.768984,304.67,0.35,0.57,2020-10-01,"0324","N","VIIRS","n",1,280.91,0.81,"0",2,2020,10,4
"12",51.569496,-3.77375,299.43,0.35,0.57,2020-10-01,"0324","N","VIIRS","n",1,280.98,1.46,"0",2,2020,10,4
"13",51.572834,-3.765213,296.08,0.35,0.57,2020-10-01,"0324","N","VIIRS","n",1,279.51,0.81,"0",2,2020,10,4
"14",51.566597,-3.764222,302.91,0.35,0.57,2020-10-01,"0324","N","VIIRS","n",1,281.14,0.81,"0",2,2020,10,4
"15",53.56546,-0.593219,332.72,0.39,0.44,2020-10-01,"1312","N","VIIRS","n",1,287.73,2.84,"1",3,2020,10,4
"16",53.569,-0.599961,337.21,0.39,0.44,2020-10-01,"1312","N","VIIRS","n",1,290.9,2.84,"1",3,2020,10,4
"17",53.5695,-0.594102,330.67,0.39,0.44,2020-10-01,"1312","N","VIIRS","n",1,288.67,2.84,"1",3,2020,10,4
"18",54.10434,-3.183453,300.69,0.37,0.58,2020-10-02,"0124","N","VIIRS","n",1,275.16,0.76,"0",0,2020,10,4
"19",54.580708,-1.108342,308.85,0.61,0.54,2020-10-02,"0124","N","VIIRS","n",1,273.51,1.51,"0",0,2020,10,4
"20",53.568348,-0.604247,310.94,0.53,0.5,2020-10-02,"0300","N","VIIRS","n",1,265.99,1.8,"0",3,2020,10,4
"21",53.634239,-0.249085,295.65,0.55,0.51,2020-10-02,"0300","N","VIIRS","n",1,281.88,2.03,"0",2,2020,10,4
"22",53.632084,-0.241364,301.19,0.55,0.51,2020-10-02,"0300","N","VIIRS","n",1,279.64,1.3,"0",0,2020,10,4
"23",53.566296,-0.596852,297.84,0.53,0.5,2020-10-02,"0300","N","VIIRS","n",1,264.36,0.83,"0",2,2020,10,4
"24",53.568604,-0.597629,310.03,0.41,0.37,2020-10-04,"0224","N","VIIRS","n",1,281.13,2.1,"0",3,2020,10,4
"25",53.632797,-0.245092,310.74,0.41,0.37,2020-10-04,"0224","N","VIIRS","n",1,284.81,1.52,"0",2,2020,10,4
"26",53.567501,-0.591666,309.34,0.41,0.37,2020-10-04,"0224","N","VIIRS","n",1,280.7,1.34,"0",2,2020,10,4
"27",53.565304,-0.599357,328.16,0.41,0.37,2020-10-04,"0224","N","VIIRS","n",1,280.94,2.1,"0",3,2020,10,4
"28",56.096584,-3.304722,351.57,0.5,0.41,2020-10-04,"1212","N","VIIRS","n",1,289.42,9.33,"1",2,2020,10,4
"29",53.566563,-0.594774,336.74,0.47,0.4,2020-10-04,"1212","N","VIIRS","n",1,286.7,6.14,"1",2,2020,10,4
"30",53.570053,-0.596848,326.12,0.47,0.4,2020-10-04,"1212","N","VIIRS","n",1,288.3,3.44,"1",3,2020,10,4
"31",56.100121,-3.307234,344.41,0.5,0.41,2020-10-04,"1212","N","VIIRS","n",1,283.77,9.33,"1",2,2020,10,4
