"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_ti5","frp","daynight","type","Year","Month","Quarter"
"1",50.837601,-1.362689,305.35,0.38,0.36,2020-04-01,"0215","N","VIIRS","n",1,274.19,1.01,"N",2,2020,4,2
"2",50.831104,-1.365331,295.38,0.38,0.36,2020-04-01,"0215","N","VIIRS","n",1,279.19,1.09,"N",2,2020,4,2
"3",51.479042,-3.13579,319.92,0.39,0.36,2020-04-01,"0215","N","VIIRS","n",1,276.95,1.69,"N",3,2020,4,2
"4",51.572353,-3.772118,295.93,0.4,0.37,2020-04-01,"0215","N","VIIRS","n",1,274.77,0.69,"N",2,2020,4,2
"5",51.568233,-3.767598,307,0.4,0.37,2020-04-01,"0215","N","VIIRS","n",1,276.96,0.95,"N",2,2020,4,2
"6",51.396706,-3.396383,308.59,0.39,0.36,2020-04-01,"0215","N","VIIRS","n",1,273.1,0.95,"N",2,2020,4,2
"7",51.564899,-3.768787,299.6,0.4,0.37,2020-04-01,"0215","N","VIIRS","n",1,277.06,0.95,"N",2,2020,4,2
"8",51.635983,-3.699333,321.46,0.4,0.37,2020-04-01,"0215","N","VIIRS","n",1,272.02,1.94,"N",0,2020,4,2
"9",51.632641,-3.700456,308.34,0.4,0.37,2020-04-01,"0215","N","VIIRS","n",1,270.04,1.04,"N",0,2020,4,2
"10",51.569019,-3.773298,309.74,0.4,0.37,2020-04-01,"0215","N","VIIRS","n",1,277.32,0.95,"N",2,2020,4,2
"11",51.56411,-3.76308,318.3,0.4,0.37,2020-04-01,"0215","N","VIIRS","n",1,276.87,1.77,"N",2,2020,4,2
"12",51.571564,-3.766408,295.81,0.4,0.37,2020-04-01,"0215","N","VIIRS","n",1,274.76,0.69,"N",2,2020,4,2
"13",51.562237,-3.765385,301.24,0.69,0.74,2020-04-01,"0354","N","VIIRS","n",1,273.8,1.8,"N",2,2020,4,2
"14",51.571648,-3.768158,298.52,0.69,0.74,2020-04-01,"0354","N","VIIRS","n",1,273.45,2.55,"N",2,2020,4,2
"15",54.572437,-3.220724,317.06,0.55,0.43,2020-04-02,"0155","N","VIIRS","n",1,270.5,1.75,"N",0,2020,4,2
"16",53.447094,-1.325336,326.25,0.47,0.4,2020-04-02,"0155","N","VIIRS","n",1,276.83,4.32,"N",2,2020,4,2
"17",54.575626,-3.211452,305.43,0.55,0.43,2020-04-02,"0155","N","VIIRS","n",1,269.06,1.75,"N",0,2020,4,2
"18",54.568546,-3.222188,300.88,0.55,0.43,2020-04-02,"0155","N","VIIRS","n",1,269.73,1.59,"N",0,2020,4,2
"19",54.57634,-3.219319,306.18,0.55,0.43,2020-04-02,"0155","N","VIIRS","n",1,272.45,1.75,"N",0,2020,4,2
"20",53.564552,-0.594614,302.78,0.45,0.39,2020-04-02,"0155","N","VIIRS","n",1,275.67,1.32,"N",3,2020,4,2
"21",53.568089,-0.593449,300.5,0.45,0.39,2020-04-02,"0155","N","VIIRS","n",1,276.47,1.32,"N",3,2020,4,2
"22",53.631577,-0.245863,308.37,0.44,0.38,2020-04-02,"0155","N","VIIRS","n",1,282.24,1.99,"N",2,2020,4,2
"23",52.325016,0.021502,303.62,0.42,0.38,2020-04-02,"0155","N","VIIRS","n",1,273.4,0.72,"N",0,2020,4,2
"24",53.649715,-0.250186,296.35,0.52,0.67,2020-04-02,"0335","N","VIIRS","n",1,276.3,0.81,"N",2,2020,4,2
"25",53.633907,-0.247475,299.96,0.52,0.67,2020-04-02,"0335","N","VIIRS","n",1,280.51,2.21,"N",2,2020,4,2
"26",53.633171,-0.244656,303.08,0.52,0.67,2020-04-02,"0335","N","VIIRS","n",1,280.4,1.51,"N",2,2020,4,2
"27",53.563412,-0.602025,330.4,0.52,0.5,2020-04-02,"1325","N","VIIRS","n",1,288.87,9.34,"D",2,2020,4,2
"28",53.566303,-0.593907,339.66,0.33,0.56,2020-04-04,"0117","N","VIIRS","n",1,275.61,1.55,"N",3,2020,4,2
"29",53.571693,-0.598727,297.26,0.33,0.56,2020-04-04,"0117","N","VIIRS","n",1,273.5,1.55,"N",3,2020,4,2
"30",53.566498,-0.599246,316.96,0.33,0.56,2020-04-04,"0117","N","VIIRS","n",1,275.54,1.55,"N",3,2020,4,2
"31",53.571495,-0.593403,297.38,0.33,0.56,2020-04-04,"0117","N","VIIRS","n",1,273.71,1.55,"N",3,2020,4,2
"32",53.566696,-0.604505,301.35,0.34,0.56,2020-04-04,"0117","N","VIIRS","n",1,272.48,2.31,"N",3,2020,4,2
"33",50.47131,-4.696766,336.06,0.42,0.38,2020-04-04,"1246","N","VIIRS","n",1,289.69,3.21,"D",0,2020,4,2
"34",50.29232,-3.764422,336.19,0.41,0.37,2020-04-04,"1246","N","VIIRS","n",1,291.79,1.64,"D",0,2020,4,2
"35",51.700687,-1.62533,330.3,0.38,0.36,2020-04-04,"1247","N","VIIRS","n",1,287.03,1.73,"D",0,2020,4,2
"36",52.312737,-0.79742,338.34,0.39,0.36,2020-04-04,"1247","N","VIIRS","n",1,291.6,5.06,"D",0,2020,4,2
"37",53.446983,-1.326365,301.7,0.56,0.69,2020-04-05,"0058","N","VIIRS","n",1,277.03,1.33,"N",2,2020,4,2
"38",52.775669,-0.928753,320.39,0.54,0.68,2020-04-05,"0058","N","VIIRS","n",1,281.29,2.77,"N",0,2020,4,2
"39",53.63501,-0.246631,295.17,0.51,0.66,2020-04-05,"0058","N","VIIRS","n",1,280.65,1.24,"N",2,2020,4,2
"40",52.773685,-0.934282,306.83,0.54,0.68,2020-04-05,"0058","N","VIIRS","n",1,278.61,2.12,"N",0,2020,4,2
"41",52.773712,-0.925888,303.54,0.54,0.68,2020-04-05,"0058","N","VIIRS","n",1,278.08,2.12,"N",0,2020,4,2
"42",53.56776,-0.597562,316.34,0.52,0.67,2020-04-05,"0058","N","VIIRS","n",1,279.48,2.19,"N",2,2020,4,2
"43",54.548878,-1.130345,300.25,0.55,0.68,2020-04-05,"0058","N","VIIRS","n",1,276.31,0.81,"N",0,2020,4,2
"44",54.548702,-1.129612,301.8,0.55,0.68,2020-04-05,"0058","N","VIIRS","n",1,276.26,1.02,"N",0,2020,4,2
"45",51.56007,-3.76527,302,0.71,0.75,2020-04-05,"0059","N","VIIRS","n",1,279.76,1.98,"N",3,2020,4,2
"46",51.577126,-3.774351,300.51,0.71,0.75,2020-04-05,"0059","N","VIIRS","n",1,280.1,1.32,"N",2,2020,4,2
"47",51.567127,-3.765621,311.14,0.71,0.75,2020-04-05,"0059","N","VIIRS","n",1,281.26,1.98,"N",3,2020,4,2
"48",51.57391,-3.776611,302.15,0.71,0.75,2020-04-05,"0059","N","VIIRS","n",1,279.92,2.2,"N",2,2020,4,2
"49",52.223125,-0.498719,300.85,0.52,0.42,2020-04-05,"0239","N","VIIRS","n",1,275.35,1.16,"N",0,2020,4,2
"50",53.569004,-0.593337,321.57,0.49,0.4,2020-04-05,"0239","N","VIIRS","n",1,279.44,2.88,"N",3,2020,4,2
"51",54.551731,-1.126874,295.36,0.45,0.39,2020-04-05,"0239","N","VIIRS","n",1,277.13,0.44,"N",0,2020,4,2
"52",53.568832,-0.599966,306.62,0.49,0.4,2020-04-05,"0239","N","VIIRS","n",1,278.83,1.99,"N",3,2020,4,2
"53",53.261921,-1.853852,296.62,0.45,0.39,2020-04-05,"0239","N","VIIRS","n",1,274.44,0.86,"N",0,2020,4,2
"54",53.633858,-0.241018,303.47,0.5,0.41,2020-04-05,"0239","N","VIIRS","n",1,280.28,1.41,"N",2,2020,4,2
"55",53.567345,-0.593,311.88,0.49,0.4,2020-04-05,"0239","N","VIIRS","n",1,279.57,1.53,"N",2,2020,4,2
"56",53.4478,-1.320866,318.28,0.47,0.39,2020-04-05,"0239","N","VIIRS","n",1,277.31,2.34,"N",2,2020,4,2
"57",53.635437,-0.248202,295.43,0.5,0.41,2020-04-05,"0239","N","VIIRS","n",1,283.38,1.41,"N",2,2020,4,2
"58",53.888058,-2.379984,295.16,0.43,0.38,2020-04-05,"0239","N","VIIRS","n",1,278.39,0.71,"N",2,2020,4,2
"59",53.565311,-0.602112,301.51,0.49,0.4,2020-04-05,"0239","N","VIIRS","n",1,277.15,1.04,"N",2,2020,4,2
"60",51.397209,-3.395187,304.96,0.44,0.39,2020-04-05,"0240","N","VIIRS","n",1,280.88,1.43,"N",2,2020,4,2
